,nr,adres,typ,niep,granice
82,83,"XIV Liceum Ogólnokształcące, ul. Chełmońskiego 24 (dawna ul. Chełmońskiego 37), Kraków",Powszechny,Nie,"Berwińskiego, Mehoffera parzyste od 2 do 6 i nieparzyste od 3 do 11, Modrzejewskiej parzyste od 2 do 14, 14a i nieparzyste od 1 do 17, 21, Stachiewicza parzyste od 26 do 52 i nieparzyste od 35 do 41, Wielkotyrnowska parzyste od 2 do 24 (bez 16 i 16a), 28 i nieparzyste od 3 do 37"
83,84,"XIV Liceum Ogólnokształcące, ul. Chełmońskiego 24, Kraków",Powszechny,Nie,"Chełmońskiego od 1 do 41, Chełmońskiego - Deptak, Ehrenberga, Elsnera parzyste od 20 do 24, Murarska, Nałkowskiego , Niska, Radzikowskiego parzyste od 10 do 30, Stachiewicza parzyste od 6 do 24, Stanisławskiego, Wodzinowskiego, Wysockiego"
84,85,"XIV Liceum Ogólnokształcące, ul. Chełmońskiego 24 (dawna ul. Chełmońskiego 37), Kraków",Powszechny,Nie,"Elsnera nieprzyste od 7 do 21, Gdyńska, Makowskiego 20, 22, Mehoffera od 12, Różyckiego, Weissa parzyste od 14 do 20"
85,86,"Klub Kultury ""Vademecum"", ul. Radzikowskiego 29, Kraków",Powszechny,Nie,"Elsnera 1, 3, parzyste od 4 do 18, Gnieźnieńska parzyste od 2 do 18 i nieprzyste 1a, od 3 do 33, Jaremy nieparzyste od 1 do 19a, Lentza, Radzikowskiego 3, 7, 15 i parzyste od 34 do 62, Weissa 8, Zygmuntowska od 2 do 23 (bez 22)"
86,87,"Gimnazjum Nr 14, ul. Czerwieńskiego 16, Kraków",Powszechny,Nie,"Podkowińskiego, Radzikowskiego parzyste od 68 do 144 i nieparzyste od 17 do 95"
87,88,"Gimnazjum Nr 14, ul. Czerwieńskiego 16, Kraków",Powszechny,Nie,"Gnieźnieńska parzyste od 18b do 26, Jaremy 12, 14, 14a, 14b, Pużaka 27, 29, Zygmuntowska parzyste od 22 i nieparzyste od 25"
88,89,"Szkoła Podstawowa nr 119, ul. Czerwieńskiego 1, Kraków",Powszechny,Nie,"Pużaka parzyste od 2 do 8 i nieparzyste od 3 do 25, Radzikowskiego 66"
89,90,"Szkoła Podstawowa Nr 119, ul. Czerwieńskiego 1, Kraków",Powszechny,Nie,"Czerwieńskiego, Konrada, Fiszera, Jaremy nieprzyste od 21 do 25 i 41b, Słowicza, Wilcza"
90,91,"Szkoła Podstawowa nr 113, ul. Stachiewicza 33, Kraków",Powszechny,Nie,"Władysława Łokietka 39 i 60, Pod Fortem, Racławicka 57, 92, Stachiewicza nieparzyste od 7 do 33, Styki, Wybickiego 7, 17 i od 30 do 52"
91,92,"Szkoła Podstawowa Nr 113, ul. Stachiewicza 33, Kraków",Powszechny,Nie,Palacha
92,93,"Szkoła Podstawowa Nr 113, ul. Stachiewicza 33, Kraków",Powszechny,Nie,"Makowskiego 1, 5, 8, 18, Modrzejewskiej parzyste od 16, Stachiewicza 45, 47, 58, 60, Wielkotyrnowska 16, 16a, 39"
93,94,"Szkoła Rodzenia, ul. Siemaszki 17, Kraków",Powszechny,Nie,"Księdza Siemaszki parzyste od 4 do 34 i nieparzyste od 13a do 33, Pielęgniarek 5, 6, 7"
94,95,"Szkoła Podstawowa nr 107 ul. Zdrowa 6, Kraków",Powszechny,Nie,"Bratysławska, Doktora Twardego, Lekarska, Prądnicka nieparzyste od 27 do 89 (bez 35/37) i parzyste od 28 do 76, Księdza Siemaszki nieparzyste od 37 do 43 a i parzyste od 38 do 64"
95,96,"Szkoła Podstawowa Nr 107, ul. Zdrowa 6, Kraków",Powszechny,Nie,"Biała, Generała Fieldorfa-Nila, Korczaka, Prądnicka nieparzyste od 95 do 125 i parzyste od 78 do 80a (bez 80), Zdrowa"
96,97,"Szkoła Podstawowa Nr 107, ul. Zdrowa 6, Kraków",Powszechny,Nie,"Jaracza 3, 4, 6, 7, 9, 10, 11, 12, 14, 16, 20, 24, 28, 30, 34, Konecznego, Reja (bez 9), Solskiego"
97,98,"Szkoła Podstawowa Nr 107, ul. Zdrowa 6, Kraków",Powszechny,Nie,"Bobrzeckiej, Frycza - Modrzewskiego, Reja 9, Żabiniec, Żmujdzka parzyste od 18 do 32 i nieparzyste od 25 do 45, 49"
98,99,"Szkoła Podstawowa Nr 109, ul. Mackiewicza 15, Kraków",Powszechny,Nie,"Bociana, Jabłonna, Kręta, Nad Struga 9, Osiedle Mozarta, Polna, Siewna parzyste od 2 do 20 i nieparzyste od 21, 21a, 21b, 21c, 21d, Zawodzie"
99,100,"Gimnazjum nr 13, ul. Mackiewicza 15, Kraków",Powszechny,Nie,"Herwina - Piątka, Górnickiego parzyste od 8 do 26 i nieparzyste od 9 do 35, Lechonia, Pachońskiego 28, 30, 32, 32a, 32b, 34, 69, Rokosza"
100,101,"Gimnazjum Nr 13, ul. Mackiewicza 15, Kraków",Powszechny,Nie,"Mackiewicza od 13, Siewna nieparzyste 23, 23a, 23b"
101,102,"Gimnazjum nr 13, ul, Mackiewicza 15, Kraków",Powszechny,Nie,"Bałtycka, Bursztynowa, Grażyny, Imbramowska, Jazowa, Kołaczy, Legnicka, Litawora, Mackiewicza od 1 do 12, Narutowicza, Papiernicza, Syreny, Szafirowa, Turystyczna, Zgody"
102,103,"Szkoła Podstawowa Nr 58, ul. Pigonia 2, Kraków",Powszechny,Nie,"Białoprądnicka, Bularnia, Górnickiego 2, 3, 6, Kluzeka (bez 6), Nad Sudołem od 31 do 75 i 98. Pleszowska, Proszowicka, Szopkarzy"
103,104,"Szkoła Podstawowa Nr 58, ul. Pigonia 2, Kraków",Powszechny,Nie,"Glogera, Jarzynowa, Jasna, Kosmonautów, Malinowa, Matki Tajber, Mączna, Pasteura, Piaszczysta, Pigonia, Rybałtowska, Zaremby, Zielińska, Zimorowicza, Żwirowa"
104,105,"Przedszkole Samorządowe Nr 165, ul. Danka 1, Kraków",Powszechny,Nie,"Danka, Grochowiaka, Nad Sudołem od 12 do 30, Pachońskiego 8, 14, 14a, 16, 18"
105,106,"Szkoła Podstawowa Nr 21, ul. Batalionu ""Skała"" AK 12, Kraków",Powszechny,Nie,"Bliska, Bukietowa, Jordanowska, Na Chałupkach, Nad Sudołem 6, 8, 10, Nawigacyjna, Owsiana, Pachońskiego 2, 2b, 4, 4a, 5, 6, 6a, Pękowicka (bez 77 i 204), Północna, Skrajna, Stelmachów parzyste od 18 do 24, Tomkowicza, Vetulaniego, Wewnętrzna, Władysława Łokietka od 83 do 124, Wyki"
106,107,"Szkoła Podstawowa Nr 21, ul.  Batalionu ""Skała"" AK 12, Kraków",Powszechny,Nie,"Krowoderskich Zuchów parzyste 12, 14, 16, 18, 20, Opolska"
107,108,"Szkoła Podstawowa Nr 21, ul. Batalionu ""Skała"" AK 12, Kraków",Powszechny,Nie,"Batalionu ""Skała"" AK, Krowoderskich Zuchów 23, 24, 25, 26, 28"
108,109,"Gimnazjum Nr 12, ul. Kluczborska 3, Kraków",Powszechny,Nie,"Kluczborska, Krowoderskich Zuchów 4, 11, 13, 15, 15a, 15c, 17, 19"
109,110,"Gimnazjum Nr 12, ul. Kluczborska 3, Kraków",Powszechny,Nie,"Krowoderskich Zuchów 3, 3a, 5, 7, 9, Wybickiego 2"
110,111,"Gimnazjum Nr 12, ul. Kluczborska 3, Kraków",Powszechny,Nie,"Rusznikarska nieparzyste od 1 do 11, Władysława Łokietka nieprzyste od 47 do 59, Wybickiego 14, 16"
111,112,"Gimnazjum Nr 12, ul. Kluczborska 3, Kraków",Powszechny,Nie,"Rusznikarska 6, 8, 10, 10b, 12, 12a, 12b, 13, 13b, 14, 14a, 15, 16, 18, 20, 21, Rusznikarska - Deptak, Wybickiego 1, 1b, 3, 3a, 5, 8, 10"
112,113,"Szkoła Podstawowa Nr 67, ul. Kaczorówka 4, Kraków",Powszechny,Tak,"Azaliowa, Chabrowa, Frycza, Gaik, Generała Paszkowskiego, Gospodarska, Gryczana, Jeczmienna, Jurajska, Kaczorówka, Konopna, Lniana, Maciejkowa, Miętowa, Na Budzyniu, Na Mostkach, Na Zielonki, Orlich Gniazd, Pękowicka 77 i 204, Potoczek, Poziomkowa, Skotnica, Waliszewskiego, Władysława Łokietka od 126, Zefirowa"
113,114,"Szkoła Podstawowa Nr 68, ul. Porzeczkowa 3, Kraków",Powszechny,Tak,"Arsenał, Banacha, Belwederczyków, Bibicka, Dożynkowa, Drużnicka, Głogowa, Górka Narodowa, Górnickiego parzyste od 28 i nieparzyste od 37, Koło Białuchy, Koralowa, Nowa Górka, Okulistów, Osiedle Witkowice Nowe, Porzeczkowa, Potockiego, Rysiewicza, Siewna parzyste od 52, 25, 25a, Suche Łąki, Turowiec, Urodzajna, Wądół, Witkowicka, Zielone Wzgórze"
114,115,"Szkoła Podstawowa Nr 68, ul. Porzeczkowa 3, Kraków",Powszechny,Tak,"Kuźnicy Kołłątajowskiej parzyste od 18 i nieparzyste od 17, Marczyńskiego, Natansona, Słomczyńskiego"
115,116,"Szkoła Podstawowa Nr 68, ul. Porzeczkowa 3, Kraków",Powszechny,Tak,"Aleja 29 Listopada od 161 do 214, 224, 226, Arcybiskupa Felińskiego, Batowicka, Grabczaka, Księdza Meiera, Kuźnicy Kołłątajowskiej parzyste od 2 do 16D i nieparzyste od 1 do 15C, Węgrzecka"
116,117,"VII Liceum Ogólnokształcące, ul. Skarbińskiego 5, Kraków",Powszechny,Nie,"Buszka, Bydgoska, Gramatyka, Lea parzyste od 46 do 100, Misjonarska, Nawojki 4 i od 6 do 8 oraz 23, 25, Piastowska nieparzyste od 47 do 51, Rolnicza, Skarbińskiego"
117,118,"VII Liceum Ogólnokształcące ,ul. Skarbińskiego 5, Kraków",Powszechny,Nie,"Armii Krajowej nieparzyste od 5 do 53, Bakałarzy, Brązownicza, Budryka, Hamernia 1, Kawiory, Konwisarzy, Miechowska, Mydlnicka (bez 12, 20), Nawojki 9, Odlewnicza (bez Nr 1, 3), Piastowska 22, 26, 26A, Pyjasa, Reymonta nieparzyste od 21, Rostafińskiego, Spiżowa, Tokarskiego, Toruńska"
118,119,"VII Liceum Ogólnokształcące, ul. Skarbińskiego 5, Kraków",Powszechny,Nie,"Chmiela, Lea nieparzyste od 93 do 121, Obopólna, Piastowska nieparzyste od 53 do 57, Smoluchowskiego, Warmijska"
119,120,"VII Liceum Ogólnokształcące, ul. Skarbińskiego 5, Kraków",Powszechny,Nie,"Kronikarza Galla nieparzyste od 15 do 23, Królewska parzyste od 90 do 94, Lea nieparzyste od 75 do 81, Staffa"
120,121,"Towarzystwo Sportowe ""Wisła"", ul. Reymonta 22, Kraków",Powszechny,Tak,"Akademicka, Aleja 3 Maja, Aleja Mickiewicza parzyste, Beniowskiego, Chodowieckiego, Cichy Kącik, Czarnowiejska parzyste od 18 do 84, Domeyki, Goetla, Igrców, Ingardena, Kadrówki, Oleandry, Olimpijska, Piastowska nieparzyste od 19 do 39A, Radwańskiego, Reymana, Reymonta parzyste od 4 do 44 i nieparzyste 1, 5, 7, 11, 15/3-5, 17/2-2, 17/3-4, 17/1-2, 17/3-5, 17/1-5, 19, 19A, Tkacka"
121,122,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 1, Aleja Kijowska 3, Kraków",Powszechny,Tak,"Aleja Kijowska 3, 8, 10, Chocimska nieparzyste od 1 do 31 i parzyste od 4 do 32, Czarnowiejska nieparzyste od 73 do 103, Lea parzyste od 20 do 36A, Ogrodniczek, Plac Nowowiejski, Spokojna, Urzędnicza parzyste od 2 do 30, Za Targiem"
122,123,"Zespół Szkół Ogólnakształcących Nr 51, Aleja Kijowska 8, Kraków",Powszechny,Nie,"Aleja Kijowska parzyste od 12 do 16 i nieparzyste od 9 do 13, Chocimska nieparzyste od 33 do 39 i 38, Kronikarza Galla parzyste od 18 do 24, Królewska parzyste od 56 do 88, Lea nieparzyste od 21a do 55, Nowowiejska nieparzyste od 29 do 37, parzyste od 20 do 32, Urzędnicza parzyste od 34 do 48"
123,124,"XXXI Liceum Ogólnokształcące, ul. Zakątek 2, Kraków",Powszechny,Nie,"Aleja Kijowska parzyste od 30 do 34, Bytomska, Kadecka 1, 4, 6, 8, 10, Kazimierza Wielkiego nieparzyste od 67 do 97 i parzyste od 108 do 144, Kronikarza Galla nieprzyste od 1B do 11, Królewska nieparzyste od 61 do 69, Racławicka parzyste od 2 do 32A, Zakątek od 1 do 3"
124,125,"XXXI Liceum Ogólnokształcące, ul. Zakątek 2, Kraków",Powszechny,Nie,"Czyżewskiego, Kazimierza Wielkiego nieparzyste od 103, Przeskok, Podchorążych 1, Siemieńskiego, Zakątek od 4 do 9, 11, 12, 13"
125,126,"XXXI Liceum Ogólnokształcące, ul. Zakątek 2, Kraków",Powszechny,Nie,"Aleja Kijowska 22, 24, Kazimierza Wielkiego parzyste od 58 do 104, Kronikarza Galla parzyste od 2 do 12, Królewska nieprzyste 45 do 59, Nowowiejska od 1 do 16, Urzędnicza parzyste od 52A do 64"
126,127,"Szkoła Podstawowa Nr 34, ul. Urzędnicza 65, Kraków",Powszechny,Nie,"Aleja Grotgera parzyste od 2 do 66, Berenta, Biernackiego, Kazimierza Wielkiego nieparzyste od 1 do 61, Kościelna, Kujawska, Łobzowska 67, Plac Axentowicza 3, 5, 7, Racławicka nieparzyste od 1 do 21, Sienkiewicza od 18 do 27, Urzędnicza 65 i 68, 68A, Wyspiańskiego, Zbrojów"
127,128,"Szkoła Podstawowa Nr 34, ul. Urzędnicza 65, Kraków",Powszechny,Tak,"Józefitów od 1 do 12, Kazimierza Wielkiego parzyste od 2 do 54a, Królewska nieparzyste od 1 do 43, Pomorska od 2 do 10, Urzędnicza nieparzyste od 49 do 59"
128,129,"Uniwersytet Ekonomiczny Instytut Towaroznawstwa, ul. Sienkiewicza 4v",Powszechny,Nie,"Aleja Słowackiego parzyste od 2 do 18a, Lenartowicza od 16 do 23, Łobzowska parzyste od 46 do 52, Plac Axentowicza 4, 6, Plac Inwalidów 6, 7, 8, Pomorska nieparzyste od 1 do 9, Sienkiewicza od 1 do 15"
129,130,"IX Liceum Ogólnokształcące, ul. Czapińskiego 5, Kraków",Powszechny,Nie,"Chopina parzyste od 20 do 38 i nieparzyste od 17 do 33, Czapińskiego, Czarnowiejska nieparzyste od 55 do 63, Konarskiego parzyste od 2 do 34, Lea parzyste od 12b do 18, Urzednicza nieparzyste od 1 do 29"
130,131,"IX Liceum Ogólnokształcące, ul. Czapińskiego 5, Kraków",Powszechny,Nie,"Józefitów od 14 do 21, Konarskiego od 39 do 54, Królewska parzyste od 2 do 54, Lea nieparzyste od 5 do 19a, Plac Inwalidów 3, 4, Urzednicza nieparzyste od 35 do 47"
131,132,"Gimnazjum Nr 16, ul. Konarskiego 2, Kraków",Powszechny,Nie,"Chopina parzyste od 4 do 18 i nieparzyste od 1 do 13, Czarnowiejska nieparzyste od 41 do 51, Lea parzyste od 4 do 12a, Karłowicza, Konarskiego nieprzyste od 1 do 37, Symfoniczna, Szymanowskiego"
132,133,"Urząd Miasta Krakowa, ul. Lubelska 27, Kraków",Powszechny,Tak,"Aleja Słowackiego parzyste od 38 do 66, Cieszyńska, Lubelska, Mazowiecka nieparzyste od 1 do 21, Prądnicka 4, Słomnicka, Śląska, Świętokrzyska, Wrocławska 8 i parzyste od 12 do 24"
133,134,"Biuro Studiów i Projektów Energetycznych ""Energoprojekt - Kraków S.A."", ul. Mazowiecka 21, Kraków",Powszechny,Nie,"Oboźna, Racławicka 55, Składowa od 15, Władysława Łokietka od 1 do 32, Poznańska 5, 6, 8, 10, Wrocławska nieparzyste od 11 do 55, "
134,135,"Biuro Studiów i Projektów Energetycznych ""Energoprojekt - Kraków S.A."", ul. Mazowiecka 21, Kraków",Powszechny,Nie,"Augustynka-Wichury, Friedleina, Kamienna 8, Odrowąża, Plater, Pradnicka parzyste od 8 do 26 i 9, Składowa od 1 do 14, Wrocławska nieparzyste od 5 do 9, Zbozowa"
135,136,"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, Kraków",Powszechny,Tak,"Aleja Grottgera 1, 3 11, 11a, 35, 37, Aleja Słowackiego parzyste od 24 do 36, Gzymsików, Mazowiecka parzyste od do 46, Sienkiewicza parzyste od 30 do 34"
136,137,"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, Kraków",Powszechny,Tak,"Kmieca 19, Litewska nieparzyste od 9 do 23, Mazowiecka nieparzyste od 23 do 39, Wójtowska nieparzyste od 1 do 13, Wrocławska parzyste od 26 do 56"
137,138,"Szkoła Podstawowa Nr 36, ul. Mazowiecka 70, Kraków",Powszechny,Tak,"Kmieca (bez 19), Litewska parzyste od 20 do 34 i 66 i nieparzyste od 37 do 49, Mazowiecka nieparzyste od 41 do 55, Racławicka 39, 41, 47, Wójtowska 4, Wrocławska parzyste od 58 do 62"
138,139,"Gimnazjum Nr 17, ul. Litewska 34, Kraków",Powszechny,Nie,"Aleja Kijowska parzyste od 44 do 66, Mazowiecka nieparzyste od 113 do 131, Racławicka parzyste od 40 do 54, Wrocławska nieparzyste od 75 do 97 i parzyste od 64 do 76"
139,140,"Gimnazjum Nr 17, ul. Litewska 34, Kraków",Powszechny,Nie,"Aleja Grottgera 43, Aleja Kijowska nieparzyste od 29 do 61, Mazowiecka parzyste od 60 do 108, Racławicka 29, 31, Rzeczna, Wojskowa, Wrocławska 78, 78a, 80"
140,141,"Szkoła Podstawowa Nr 50, ul. Katowicka 28, Kraków",Powszechny,Nie,"Osiedle Złota Podkowa, Boya-Żeleńskiego, Generała Wieniawy - Długoszowskiego 6, 8, 10, 22, Groszkowa, Katowicka, Księdza Truszkowskiego, Narcyzowa, Palmowa, Pasternik nieparzyste, Peipera, Pod Strzechą, Radzikowskiego 166, 168 i nieparzyste od 97, Tetmajera, Witkiewicza, Zielony Most od 4 do 12A, Żeleńskiego"
141,142,"Szkoła Podstawowa Nr 153, ul. Na Błonie 15d, Kraków",Powszechny,Nie,"Balicka nieparzyste od 1 do 53 i parzyste 12, 12 a, 12 b, 12 c, 14a, 14b, Na Błonie 1, 3, 3 a, 3 b, 3 c, 9 a, Zielony Most 2"
142,143,"Szkoła Podstawowa Nr 153, ul. Na Błonie 15d, Kraków",Powszechny,Nie,Armii Krajowej nieparzyste od 77 do 87
143,144,"Szkoła Podstawowa nr 153, ul. Na Błonie 15d, Kraków",Powszechny,Nie,"Armii Krajowej nieparzyste 89, 93, 97 Bronowicka 136, Jabłonkowska, Na Błonie 15, 15 a, 15 b, 15 c"
144,145,"Zespół Szkół Ogólnokształcących Nr 8, ul. Na Błonie 15b, Kraków",Powszechny,Nie,"Na Błonie 9, 11, 11a, 13, 13a, 13b"
145,146,"Zespół Szkół Ogólnokształcących nr 8, ul. Na Błonie 15b, Kraków",Powszechny,Nie,"Arciszewskiego, Balicka nieparzyste od 61 do 99 i parzyste od 40 do 102 a, 103, 103a, Brzegowa, Bzymka-Strzałkowskiego, Filtrowa, Hamernia (bez 1), Justowska, Kowalskiego, Księdza Machaya, Kwiatkowskiego, Kuźnicza, Legendy, Lindego, Młynarskiego, Na Błonie 6, 10, 12, 14, 16, 19 i od 20 do 61B, Nad Zalewem (bez 1, 1 a, 2e, 4, 4f, g, h, i, j, k, l s, 8), Ochlewskiego, Odlewnicza 1, 3, Olkuska, Orna, Pamiętna, Piwnika Ponurego, Popiela, Prystora, Przesmyk, Przyjemna, Rotmistrza Pileckiego, Strużeckiego, Trawiasta, Wiedeńska, Zarudawie, Zarzecze od 97 do 136"
146,147,"Szkoła Podstawowa Nr 138, ul. Wierzyńskiego 3, Kraków",Powszechny,Nie,"Balicka 116, 116a, 117 i od 125, Barciszewskiego, Brzezińskiego, Brzozowskiego, Dolińskiego, Generała Wieniawy - Długoszowskiego (bez 6, 8, 10 i 22), Godlewskiego, Gradowa, Hemara, Kurozwęckiego, Majora Łupaszki, Na Nowinach, Profesora Spiczakowa, Profesora Myczkowskiego, Przy Młynówce, Wapiennik, Weryhy Darowskiego, Wierzyńskiego, Wójcickiego, Zakliki z Mydlnik, Zaklucze, Zygmunta Starego"
147,148,"Szkoła Podstawowa nr 93, ul. Szlachtowskiego 31, Kraków",Powszechny,Nie,"Altanowa, Bronowicka Parzyste od 2 do 12b, Jadwigi z Łobzowa, Krzywy Zaułek, Lea nieparzyste od 123 do 165, Młodej Polski, Niedziałkowskiego, Piastowska parzyste od 34 do 50, Rydla nieprzyste od 1 do 17, Staszczyka, Szlachtowskiego, Żelechowskiego"
148,149,"Szkoła Podstawowa Nr 93, ul. Szlachtowskiego 31, Kraków",Powszechny,Nie,"Bandtkiego od 20, Bronowicka 20, 38, 38a, Cicha, Rydla parzyste od 2 do 24"
149,150,"Zespół Szkół Ogólnokształcących Nr 7, ul. Złoty Róg 30, Kraków",Powszechny,Nie,"Bronowicka nieparzyste od 5 do 69, Czeladnicza, Czepca 3, 9 a, 9 b, 9 c, 9 d, Głowackiego parzyste, Górna, Grenadierów, Halczyna, Kmietowicza, Krakusów, Rodakowskiego, Rydla nieparzyste od 21 do 53 i 26, 28, 42, Wallek-Walewskiego, Wjazdowa, Zaczarowane Koło, Złoty Róg od 1 do 23"
150,151,"Zespół Szkół Ogólnokształcących Nr 7, ul. Złoty Róg 30, Kraków",Powszechny,Nie,"Bronowicka nieparzyste od 71 do 139, Czepca parzyste od 2 do 20, Wernyhory, Złoty Róg od 25 do 54 i 54a"
151,152,"Zespół Szkół Budowlanych Nr 1, ul. Szablowskiego 1, Kraków",Powszechny,Nie,"Drzymały, Kunickiego, Mysłakowskiego (bez 13), Przybyszewskiego od 15 do 53 , 61, 63, 65, 67, Sewera, Szablowskiego, Świętego Wojciecha, Wesele, Włościańska, Zarzecze parzyste od 2 do 90 i nieparzyste od 1 do 77"
152,153,"Zespół Szkół Budowlanych Nr 1, ul. Szablowskiego 1, Kraków",Powszechny,Tak,"Armii Krajowej 2, 6, 8, 8a, Kołowa, Mysłakowskiego 13, Lea parzyste od 110 do 244 i nieparzyste od 167 do 259, Piastowska parzyste 30, 32, Przybyszewskiego 71"
153,154,"Centrum Kształcenia Praktycznego, ul. Wesele 41, Kraków",Powszechny,Tak,"Bandtkiego od 1 do 18, Bronowicka parzyste od 48 do 88, 90 i 104, Przybyszewskiego od 1 do 14 a, Sołtysa Dytmara, Stańczyka, Zapolskiej"
154,155,"Szkoła Podstawowa nr 48, ul. Księcia Józefa 337, Kraków",Powszechny,Nie,"Aleja Konarowa, Aleja Wędrowników, Astronautów, Bagatela, Bażancia, Bielańska, Bielańskiego, Czajek, Czyżyków, Daleka, Dworna, Jemiołuszek, Kaszubska, Krucza, Księcia Józefa parzyste od 128 do 212a, 218 i nieparzyste od 291 do 379, Maćkowa Góra, Marszałka Wolskiego, Mirowska, Na Górkach, Na Grabinach, Na Wirach, Niemena, Okrąg, Orla (bez 150), Oszustowskiego, Pod Janem, Pod Szwedem, Przepiórcza, Puchalskiego, Puszczyków, Rędzina, Sępia, Skalna, Sokola, Zakręt, Zaogrodzie, Zaszkolna"
155,156,"Klub Kultury ""Chełm"", ul. Chełmska 16, Kraków",Powszechny,Nie,"Aleja Kasztanowa nieparzyste od 47 do 71B, 73 i parzyste od 54 do 78, Baranieckiego, Becka 17, 17a, 19, 25, 27, 29, 29b, 54, 58, 60 i nieparzyste od 41 do 57, Chełmska, Chwistka, Czecha, Grabowa parzyste, Junacka, Jurowicza, Królowej Jadwigi nieparzyste od 279 do 329, Malownicza, Marynarska, Nad Zalewem 2e, 4, 4f, g, h, i, j, k, l, s, Niezapominajek, Olszanicka od 1 do 9, Orla 150, Oświęcimska, Podłużna, Pod Stokiem, Przyszłości, Pylna, Rysi Stok, Rzepichy, Wilczy Stok, Wiosenna, Za Skłonem, Zakamycze, Zielony Dół"
156,157,"Publiczna Szkoła Podstawowa Sióstr Pijarek im. Świętego Józefa Kalasancjusza, ul. Korzeniaka 18, Kraków",Powszechny,Nie,"Amazonek, Głogowiec, Insurekcji Kościuszkowskiej, Jagiełka, Jantarowa, Korzeniaka, Kosmowskiej, Krzyżówka, Księdza Skargi, Leśmiana, Majówny, Na Borach, Na Polankach, Nad Źródłem, Olszanicka od 10, Pod Skałą, Pod Szańcami, Podkamyk, Porzecze, Powstania Listopadowego, Powstania Styczniowego, Raczkiewicza, Stryjeńskiej, Szaserów, Wyżgi"
157,158,"Klub Kultury ""Przegorzały"", ul. Kamedulska 70, Kraków",Powszechny,Tak,"Borówczana, Bruzdowa, Cygańska, Dobrzyckiego, Gajówka, Herzoga, Jodłowa, Kamedulska, Kasprzyckiego, Koziarówka, Księcia Józefa nieparzyste od 115b do 289 i parzyste od 84 do 120, Müncha, Muzyczki, Nietoperzy, Olchowa, Pajęcza, Przegorzalska, Rybna, Skibowa, Szyszko - Bochusza, Uboczna, Winowców, Zaskale, Żemajtisa, Żywiczna"
158,159,"Zespół Szkół Specjalnych Nr 4, ul. Senatorska 9, Kraków",Powszechny,Nie,"Borelowskiego-Lelewela 19, Kałuży, Łowiecka 3, 5, Rotmistrza Dunin-Wąsowicza 3, 5, 7, 9, 11, 19 nieparzyste od 41 do 49 i parzyste od 8 do 52, Stachowicza 3, 5, Syrokomli parzyste od 22 do 26, Ujejskiego nieparzyste od 1 do 15, Włóczków parzyste od 20 do 22"
159,160,"Zespół Szkół Specjalnych Nr 4, ul. Senatorska 9, Kraków",Powszechny,Nie,"Fałata 2, 2a, 2b, Filarecka, Kraszewskiego nieparzyste od 1 do 29 i przyste od 2 do 16, Łowiecka 2, 6, Prusa nieparzyste od 1 do 15, Salwatorska nieparzyste od 1 do 7a, parzyste od 4 do 16, Senatorska nieparzyste od 1 do 21"
160,161,"Szkoła Podstawowa Nr 31, ul. Prusa 18, Kraków",Powszechny,Nie,"Aleja Marszałka Focha 14 i od 24 do 33, Fałata 4, 4/I, 4/II, 4/III, 4/2, 4/3, 6 i nieparzyste od 3 do 13, Kraszewskiego parzyste od 22 do 36, Prusa nieparzyste od 17 do 39 i 28, 30, Salwatorska nieparzyste od 9 do 15, Wyczółkowskiego od 2 do 8"
161,162,"Szkoła Podstawowa Nr 31, ul. Prusa 18, Kraków",Powszechny,Nie,"Aleja Marszałka Focha 34, 38b, nieparzyste 33 do 39 c, Fałata 12, 12d, 14, 14a, Kasztelańska, Mlaskotów, Prusa parzyste od 2 do 18, Salwatorska parzyste od 18 do 22 i nieparzyste od 17 do 35a, Senatorska nieparzyste 23 do 43, Wyczółkowskiego parzyste od 10 do 14"
162,163,"Zespół Szkół Odzieżowych Nr 1, ul. Syrokomli 21, Kraków",Powszechny,Nie,"Aleja Krasińskiego parzyste od 4 do 32, Kościuszki 1, 3, Morawskiego parzyste od 10 do 12, Rotmistrza Dunin-Wąsowicza 2, 4, 6, Syrokomli nieparzyste od 1 do 25"
163,164,"Gimnazjum Nr 20, ul. Senatorska 35, Kraków",Powszechny,Nie,"Borelowskiego - Lelewela nieparzyste od 3 do 17, Kościuszki nieparzyste od 15 do 27, Morawskiego 5, Stachowicza parzyste od 2 do 14, Syrokomli parzyste od 10 do 20, Tatarska, Ujejskiego parzyste od 2a do 12, Włóczków parzyste od 2 do 18 i 11a"
164,165,"Gimnazjum Nr 20, ul. Senatorska 35, Kraków",Powszechny,Nie,"Borelowskiego-Lelewela parzyste od 2 do 24, Dojazdowa, Flisacka, Jaskółcza, Komorowskiego, Kościuszki parzyste od 18 do 86 i nieparzyste od 31 do 75, Plac Na Stawach, Senatorska parzyste od 2 do 26, Stachowicza nieparzyste od 13 do 17"
